city,state_id,city_id
São José do Goiabal,3090309573211341312,2333012745884428800
Pederneiras,3253159936379173376,2184659546192465408
Augusto de Lima,3090309573211341312,1580868134171330304
Lagoa Santa,1704490506352719360,1962889254359325952
Bernardo Sayão,2490997963670251520,2365744306120669184
Couto de Magalhães,2490997963670251520,2896559457056538624
Juazeirinho,2402308655805438464,1992574491896183040
Pereiras,3253159936379173376,2914836610495662080
Horizontina,2136045840289182976,2419983425762407936
Palmeiras do Tocantins,2490997963670251520,14727504457017150
Unistalda,2136045840289182976,3091433803062291968
Córrego do Bom Jesus,3090309573211341312,2181560147045962752
Nova Monte Verde,1194011450428713728,895082441834683136
Roque Gonzales,2136045840289182976,205160282146619872
São Domingos do Norte,1565160282810056448,39769019249884840
Nova União,3090309573211341312,952046631241877248
Monte Mor,3253159936379173376,1908651101570144256
Iaras,3253159936379173376,2223368089601402368
Porangaba,3253159936379173376,94238784763655040
Banzaê,350615654648688512,3279617650376413184
Miraíma,2409699387609573888,5855043697306583
José Boiteux,1268940915088243712,1229150522753571072
Santa Efigênia de Minas,3090309573211341312,3074491509913706496
Barreirinhas,73234843525808128,1733155656715053312
Campo Bonito,3193480059435906560,215858741798202016
Princesa,1268940915088243712,1283648432554304000
Lago Dos Rodrigues,73234843525808128,1253365031226127616
Cromínia,1704490506352719360,315662881517044736
Japoatã,564934305080023488,1213126739019785216
Bituruna,3193480059435906560,2026827405330108672
Sítio Novo do Tocantins,2490997963670251520,72822273209783632
Saldanha Marinho,2136045840289182976,3065955382848678912
Pirassununga,3253159936379173376,268712992303181376
Jaguaribe,2409699387609573888,1161551435805996032
Anicuns,1704490506352719360,2074819095043236608
Bom Jesus do Galho,3090309573211341312,903515599400755072
São Pedro do Sul,2136045840289182976,2172611850640109312
Cotriguaçu,1194011450428713728,2599178914174096896
São Gonçalo Dos Campos,350615654648688512,2382745837588512768
Campinorte,1704490506352719360,1463614633984728064
Independência,2409699387609573888,1298948914652025344
Carambeí,3193480059435906560,1211452592809303040
Leopoldo de Bulhões,1704490506352719360,2954795951316589568
Itapemirim,1565160282810056448,648580340723423232
Gravatal,1268940915088243712,459444236100117568
Uruguaiana,2136045840289182976,1868149731829732864
Passo de Torres,1268940915088243712,14715163550490402
Júlio de Castilhos,2136045840289182976,13073615623177554
Bombinhas,1268940915088243712,535080695879629952
Lago da Pedra,73234843525808128,2306312968846963200
Sete Quedas,626830799835729536,164736589305805696
Timbaúba Dos Batistas,2542295797061516288,3035063881457981440
Pedregulho,3253159936379173376,607456121077875072
Ponto Dos Volantes,3090309573211341312,2615860394225039360
Limoeiro do Ajuru,2355659330527258624,1303439036311231744
Betânia do Piauí,2992994763560601600,1957994163832381696
Cambuci,1943252037534108160,3029236240856091648
Uruoca,2409699387609573888,2383049852657765888
Araputanga,1194011450428713728,3232369307766020608
Rio Preto,3090309573211341312,1435112300382671616
Xique-xique,350615654648688512,2905956215056027648
Canavieiras,350615654648688512,3360321757790198272
Encruzilhada,350615654648688512,802992045989571712
Belém do Brejo do Cruz,2402308655805438464,1397727194554036224
Senador la Rocque,73234843525808128,3333122778178429440
Touros,2542295797061516288,1445139121022569472
Inúbia Paulista,3253159936379173376,1671822576895199744
Martins Soares,3090309573211341312,3133514207207969280
Camaragibe,2431598724103076352,1248362522949841408
São João da Paraúna,1704490506352719360,160055940224887328
Sobral,2409699387609573888,336249655379697984
Morrinhos,2409699387609573888,3285547780380282880
Grupiara,3090309573211341312,1492610643080676864
Guaraciaba,3090309573211341312,870148829038447232
Campo Bom,2136045840289182976,1171648277739431424
Caraúbas,2542295797061516288,1995413124440644096
Suzanápolis,3253159936379173376,202426401696484096
Bicas,3090309573211341312,429453496665470016
Cascalho Rico,3090309573211341312,874556213273600128
Japeri,1943252037534108160,1853049591225846272
Jacobina,350615654648688512,508490229825579712
Mendes,1943252037534108160,1786739441157666560
Caçapava do Sul,2136045840289182976,945356089462678144
Ituverava,3253159936379173376,3022441711756741120
Cumaru,2431598724103076352,2891497486765701120
Pirapemas,73234843525808128,375466880453636032
Montanhas,2542295797061516288,2692870097699523072
Xavantina,1268940915088243712,3240880319371867136
Botucatu,3253159936379173376,3244833730974777856
Barra Longa,3090309573211341312,927471559303961600
Chapada de Areia,2490997963670251520,2241220102068296960
São José do Egito,2431598724103076352,2258493254859113216
Luziânia,1704490506352719360,1264187784263954432
Herval D´oeste,1268940915088243712,308440555366929792
Carneiros,478763362826876096,2856992721453409280
Rio Dos Bois,2490997963670251520,3237215569258063360
Porto Belo,1268940915088243712,2183212923812817152
Sobrália,3090309573211341312,798176210269504000
Tartarugalzinho,923376177486181760,2041104140958306048
Santa fé de Goiás,1704490506352719360,996668673221257088
