state,country_id,state_id
MG,1811589392032273152,3090309573211341312
SP,1811589392032273152,3253159936379173376
GO,1811589392032273152,1704490506352719360
TO,1811589392032273152,2490997963670251520
PB,1811589392032273152,2402308655805438464
RS,1811589392032273152,2136045840289182976
MT,1811589392032273152,1194011450428713728
ES,1811589392032273152,1565160282810056448
BA,1811589392032273152,350615654648688512
CE,1811589392032273152,2409699387609573888
SC,1811589392032273152,1268940915088243712
MA,1811589392032273152,73234843525808128
PR,1811589392032273152,3193480059435906560
SE,1811589392032273152,564934305080023488
MS,1811589392032273152,626830799835729536
RN,1811589392032273152,2542295797061516288
PA,1811589392032273152,2355659330527258624
PI,1811589392032273152,2992994763560601600
RJ,1811589392032273152,1943252037534108160
PE,1811589392032273152,2431598724103076352
AL,1811589392032273152,478763362826876096
AP,1811589392032273152,923376177486181760
